Name, Wins, Losses, Weightclass
Stjepan Bekavac,19,9,Light Heavyweight
Misha Cirkunov,14,5,Light Heavyweight
Ed Herman,23,14,Light Heavyweight
Francimar Barroso,22,7,Light Heavyweight
Marcos Rogerio de Lima,16,6,Heavyweight
Stanislav Nedkov,12,2,Light Heavyweight
Cody Donovan,8,5,Light Heavyweight
Ovince St. Preux,23,12,Light Heavyweight
Walt Harris,12,7,Heavyweight
Soa Palelei,22,5,Heavyweight
Gabriel Tampu,0,1,Heavyweight
Vladimir Mishchenko,8,10,Light Heavyweight
Julian Bogdanov,1,2,Heavyweight
Denis Simkin,0,1,Light Heavyweight
Valeriy Shcherbakov,1,6,Heavyweight
Vladimir Gerasimchik,1,10,Light Heavyweight
Igor Kukurudziak,9,8,Super Heavyweight
Viktor Smirnov,2,5,N/A
Anatoliy Didenko,0,5,N/A
Alexey Stepanov,0,5,N/A
Svyatoslav Scherbakov,1,6,N/A
Alexey Artemenko,0,3,N/A
Denis Bogdanov,0,5,Light Heavyweight
Alexander Umrikhin,0,1,N/A
Akhmedshaikh Gelegaev,5,1,Heavyweight
Jalin Turner,8,4,Lightweight
Matt Frevola,6,1,Lightweight
Callan Potter,17,8,Lightweight
Vicente Luque,15,6,Welterweight
Max Mustaki,6,4,Lightweight
Noah Tillis,4,3,Lightweight
Vytautas Sadauskas,3,10,Lightweight
Richard LeRoy,7,1,Lightweight
Paradise Vaovasa,6,3,Lightweight
Gabriel Green,9,2,Lightweight
Andrew Lagdaan,4,4,Featherweight
Ronnie Borja,5,5,Lightweight
Adrian Ajoleza,0,1,Lightweight
Eric Steans,7,7,Lightweight
Flavian Pilgrim,4,1,Lightweight
Raul Hernandez,1,0,Featherweight
Tyler Mendoza,0,0,Welterweight
Emilas Jimenez,0,0,Featherweight
Isaiah Culpepper,0,1,Lightweight
Johnny Fiedler,0,0,Lightweight
Julian Baez,0,2,Featherweight
Ian Quinto,0,0,Featherweight
Lando Vannata,10,3,Lightweight
Marco Polo Reyes,8,5,Lightweight
Jose Flores,7,1,Lightweight
Raush Manfio,11,3,Lightweight
Trent McDade,2,1,Lightweight
Emmanuel Ramirez,2,4,Lightweight
Mike D'Angelo,3,3,Welterweight
Josh Zuckerman,0,4,Welterweight
Andrick Cubero Quesada,4,3,Welterweight
Daniel De Leon,2,3,Featherweight
Wilson Reis,23,9,Flyweight
Alexandre Pantoja,20,3,Flyweight
Ben Nguyen,16,8,Flyweight
John Moraga,19,7,Flyweight
Henry Cejudo,14,2,Flyweight
Demetrious Johnson,28,3,Bantamweight
Yuta Sasaki,22,6,Flyweight
Hector Sandoval,14,4,Flyweight
Dustin Ortiz,19,8,Flyweight
Jussier da Silva,23,5,Flyweight
Scott Jorgensen,15,12,Bantamweight
Joby Sanchez,12,4,Bantamweight
Iuri Alcantara,35,10,Bantamweight
Ivan Menjivar,25,12,Bantamweight
Owen Roddy,11,4,Bantamweight
Billy Vaughan,12,17,Featherweight
Cody Stevens,14,11,Featherweight
Bruno Menezes,16,6,Flyweight
Eduardo Dantas,21,6,Bantamweight
Patricio Freire,28,4,Featherweight
Zac George,20,5,Featherweight
Deividas Taurosevicius,17,5,Featherweight
Shad Lierley,5,3,Featherweight
Dwayne Shelton,10,10,Lightweight
Roberto Vargas,13,3,Featherweight
Joe Soto,18,7,Bantamweight
Henry Martinez,9,4,Lightweight
Abel Cullum,21,7,Flyweight
Bryan Caraway,21,9,Bantamweight
Justin Robbins,14,19,Featherweight
Zach Makovsky,20,9,Flyweight
Diego Jimenez,3,1,N/A
Baba Shigeyasu,2,2,Lightweight
Yuta Sasaki,22,6,Flyweight
Brandon Moreno,14,5,Flyweight
Dustin Ortiz,19,8,Flyweight
Neil Seery,16,13,Flyweight
Eric Shelton,12,6,Flyweight
Damacio Page,20,10,Flyweight
Matt Manzanares,7,6,Flyweight
Lincoln de Sa Oliveira,23,9,Flyweight
Daniel Araujo,4,4,Flyweight
Rodrigo Favacho dos Santos,6,3,Flyweight
Sandro Gemaque de Souza,17,8,Featherweight
Samuel de Souza,1,2,Bantamweight
Bruno Azevedo,16,3,Flyweight
Jussier da Silva,23,5,Flyweight
Ralph Alves,8,8,Flyweight
Magno Alves,4,9,Flyweight
Michael William Costa,12,6,Flyweight
Bruno Moreno,0,1,N/A
Gabriel Wolff,7,5,Flyweight
Willian Viana,17,8,Bantamweight
Peterson Maffort,4,6,Bantamweight
Antonio    Carlos,0,4,N/A
Hiromasa Ogikubo,17,4,Flyweight
Kai Kara-France,19,7,Flyweight
Max Griffin,14,6,Welterweight
Zelim Imadaev,8,0,Welterweight
Thiago Alves,23,13,Welterweight
Curtis Millender,17,4,Welterweight
Mike Perry,12,4,Welterweight
Elizeu Zaleski dos Santos,21,5,Welterweight
Erick Montano,7,6,Welterweight
Colby Covington,14,1,Welterweight
David Mitchell,22,7,Middleweight
Randall Wallace,15,7,Welterweight
Chidi Njokuani,18,6,Welterweight
Ricky Legere Jr.,19,7,Welterweight
Waachiim Spiritwolf,12,13,Welterweight
Fernando Gonzalez,27,16,Welterweight
Kito Andrews,9,5,Middleweight
Richard Rigmaden,3,12,Heavyweight
Justin Baesman,18,21,Welterweight
Jaime Jara,38,18,Middleweight
Joshua Miranda,3,3,N/A
Aaron Hamilton,1,5,Middleweight
Kino Vuittonet,0,3,Lightweight
Matt Secor,10,5,Middleweight
Jeremy Hunter,0,0,N/A
Ivan Gluhak,18,8,Middleweight
Yuri Izotov,9,10,Welterweight
Kenan Guliyev,2,3,Welterweight
Chorshanbe Chorshanbiev,3,1,Welterweight
Dmitriy Tuzov,0,2,Welterweight
Kamardin Akhmadbekov,0,2,Welterweight
Alexander Kovalenko,0,1,Welterweight
Stanislav Pavlenko,0,3,Welterweight
Boston Salmon,6,1,Bantamweight
Khalid Taha,12,2,Bantamweight
Ricky Turcios,9,2,Bantamweight
Zac Riley,5,5,Bantamweight
Keith Carson,7,5,Bantamweight
Danny Mainus,3,5,Bantamweight
James DeHerrera,1,2,Featherweight
Zac Chavez,2,4,Bantamweight
Perceu Friza,6,1,Featherweight
J.W. Lee,0,0,Bantamweight
Saul Rosales,0,0,Featherweight
Brad Campbell,0,0,Featherweight
Nad Narimani,12,3,Featherweight
Hamza Kooheji,8,2,Bantamweight
Takafumi Otsuka,24,15,Bantamweight
Keita Ishibashi,9,7,Bantamweight
Timo-Juhani Hirvikangas,11,3,Bantamweight
Michail Chrisopoulos,3,4,Featherweight
Nijat Valujev,0,2,Middleweight
Daniel Makin,2,15,Lightweight
Omer Cankardesler,9,5,Bantamweight
Ali Selcuk Ayin,4,12,Bantamweight
Manuel Bilic,13,6,Bantamweight
Florin Gardan,10,3,Bantamweight
John Isac,3,4,Welterweight
Muhammed Celebi,4,5,Featherweight
Eddie Pobivanez,4,2,Featherweight
Daniel Grasse,0,0,N/A
Belal Muhammad,14,3,Welterweight
Curtis Millender,17,4,Welterweight
Geoff Neal,11,2,Welterweight
Chance Rencountre,13,3,Welterweight
Tim Means,28,11,Welterweight
Jordan Mein,31,12,Welterweight
Randy Brown,10,3,Welterweight
Vicente Luque,15,6,Welterweight
Augusto Montano,15,3,Welterweight
Alan Jouban,16,6,Welterweight
Steve Carl,22,7,Welterweight
Zane Kamaka,13,3,Welterweight
Keith Johnson,12,4,Welterweight
Chris Curtis,20,5,Welterweight
A.J. Matthews,9,9,Middleweight
Garrett Gross,11,8,Lightweight
Jimmy Fritz,2,2,Middleweight
Quinton McCottrell,15,23,Welterweight
Justin Brock,2,6,Middleweight
Elizeu Zaleski dos Santos,21,5,Welterweight
Siyar Bahadurzada,24,7,Welterweight
Max Griffin,14,6,Welterweight
Thiago Alves,23,13,Welterweight
Nick Barnes,12,4,Welterweight
Matthew Frincu,13,4,Welterweight
Kevin Holland,14,4,Middleweight
Johnny Cisneros,12,7,Welterweight
Ozzie Alvarez,8,6,Welterweight
Casey Greene,4,2,Welterweight
Eddie Mendez,8,3,Middleweight
Steven Ciaccio,4,4,Lightweight
Fernando Gonzalez,27,16,Welterweight
Brennan Ward,14,6,Welterweight
James Chaney,9,10,Welterweight
Dominic Waters,10,6,Welterweight
John Mercurio,9,8,Welterweight
Alex Suhonosov,2,3,Welterweight
J.C. Llamas,8,7,Middleweight
Blake Belshe,0,3,Welterweight
Paul Gemmati,0,4,Middleweight
Montel Jackson,7,1,Bantamweight
Andre Soukhamthath,13,6,Bantamweight
Brian Kelleher,19,10,Bantamweight
Ricky Simon,15,1,Bantamweight
Rico DiSciullo,9,2,Bantamweight
Daron McCant,4,1,Featherweight
Jesse Wannemacher,1,3,Bantamweight
Terrence Almond,3,4,Bantamweight
Sean Huffman,22,36,Welterweight
Josh Wiseman,1,3,Featherweight
Thurston Lovell,0,0,N/A
Richard Moad,0,0,Middleweight
Rocco Pucillo-Scanlon,0,0,Bantamweight
Jonathan Martinez,10,2,Bantamweight
Sean O'Malley,10,0,Bantamweight
Luke Sanders,13,3,Bantamweight
Alejandro Perez,21,7,Bantamweight
Albert Morales,7,5,Bantamweight
Kin Moy,8,3,Bantamweight
Kody Nordby,9,5,Featherweight
Carlos Galindo,10,4,Bantamweight
Brian Kelleher,19,10,Bantamweight
Tom English,6,9,Featherweight
Corey Simmons,7,9,Bantamweight
Billy Vaughan,12,17,Featherweight
Blair Tugman,11,7,Bantamweight
Kurt Chase-Patrick,2,2,Bantamweight
Rob Costa,2,2,Bantamweight
Vinny Tisconie,0,1,N/A
Gilvan Santos,0,6,Bantamweight
Robbie Slade,4,0,Bantamweight
Rob Font,16,4,Bantamweight
Frank Sforza,8,1,Lightweight
Jose Rustrain,0,0,Featherweight
Poliana Botelho,7,2,Strawweight
Lauren Mueller,5,1,Flyweight
Cynthia Calvillo,8,1,Flyweight
Syuri Kondo,6,2,Strawweight
Pearl Gonzalez,9,4,Strawweight
Silvana Gomez Juarez,6,2,Flyweight
Antonia Silvaneide da Silva,4,3,Strawweight
Karina Rodriguez,7,3,Flyweight
Viviane Pereira,13,3,Strawweight
Ingrid Shwartz,0,1,Bantamweight
Thais Raphaela,0,1,Featherweight
Yanan Wu,10,2,Flyweight
Shana Dobson,3,2,Flyweight
Kelly McGill-Velasco,2,2,Bantamweight
Hannah Fitzpatrick,0,1,Bantamweight
Faye Shields,0,4,Flyweight
Peggy Ross,0,2,Strawweight
Randy Costa,0,0,Bantamweight
Brandon Davis,9,5,Featherweight
Zabit Magomedsharipov,17,1,Featherweight
Enrique Barzola,15,4,Featherweight
Steven Peterson,17,8,Featherweight
Kyle Bochniak,8,4,Featherweight
Austin Arnett,16,6,Featherweight
Randy Hedderick,5,12,Featherweight
Max Mustaki,6,4,Lightweight
Latral Perdue,1,12,Bantamweight
Thomas Vasquez,7,4,Bantamweight
Adam Denton,2,2,Featherweight
Lawrence Purifoy,0,5,Featherweight
Jesse Sanderson,1,3,Featherweight
Jorge Medina,4,3,Lightweight
Brandon Pemberton,0,2,Featherweight
Bobby Galluzzi,0,0,Lightweight
Zack Wallace,0,0,Lightweight
Amir Khan,11,5,Lightweight
Josh Kirkland,0,0,Lightweight
Joshua Espinoza,0,0,Featherweight
Jerquarbus Sherrod,0,0,Featherweight
CJay Hunter,3,5,Featherweight
